Date,Close,High,Low,Open,Volume
2019-09-30,595.986145,597.5518959,584.0417999,586.0325539,25263770
2019-10-01,583.7510986,600.3479038,578.5617713,598.1111423,17920384
2019-10-03,586.5023193,588.1351415,573.1935557,575.2961151,13524851
2019-10-04,585.1826172,594.3533936,583.2813907,590.4614129,14992253
2019-10-07,586.0773315,590.8639929,582.3195531,585.1825911,10061584
2019-10-09,592.6310425,594.9573319,578.203927,585.45108,17588647
2019-10-10,609.6304321,612.426339,590.9534063,592.7428274,35006390
2019-10-11,605.0898438,610.9054477,597.9098218,610.0554413,16597126
2019-10-14,607.5055542,610.6146594,604.3069809,610.6146594,13394275
2019-10-15,610.2567749,612.8738057,605.850323,609.5186334,9672791
2019-10-16,613.9249878,617.1906317,610.0553449,612.8289742,19403660
2019-10-17,624.7285156,625.8469261,613.7683798,615.1104605,16038940
2019-10-18,633.6085815,638.775512,625.7128152,628.0837788,28121951
2019-10-22,632.6244507,642.779316,627.7929955,637.4781833,27786502
2019-10-23,622.8944092,637.9031251,618.7564216,633.5862013,18446160
2019-10-24,642.6003418,644.8147661,620.2774614,626.7416787,22642488
2019-10-25,640.25177,644.8370981,631.3270615,644.6805588,13539957
2019-10-27,641.6162109,646.4252691,639.7149248,644.6358479,3014841
2019-10-29,656.2894287,662.0826359,645.1279577,646.6489748,25768505
2019-10-30,661.6799927,664.1180872,653.2697551,662.082599,16341366
2019-10-31,655.0814819,666.3995507,653.8960002,663.8719883,19463741
2019-11-01,651.7486572,653.9406844,644.6357673,650.8987107,13904301
2019-11-04,652.0842285,658.0563712,646.4699581,655.7748758,14063434
2019-11-05,647.4541626,657.1393502,644.6358586,654.5223792,12685356
2019-11-06,641.9069214,647.0738516,639.0438835,645.3962954,14625505
2019-11-07,652.5091553,654.4774525,640.6990137,641.9516262,14084039
2019-11-08,646.6489868,652.9790026,644.7700975,648.2147379,12019353
2019-11-11,638.7307129,646.0896701,636.3820867,643.7857779,11357841
2019-11-13,658.6379395,660.2484244,639.7149055,639.7149055,25225749
2019-11-14,654.3658447,662.7984204,651.2567393,660.2932544,14258133
2019-11-15,657.9893188,665.1246063,654.5446788,655.6630894,15691605
2019-11-18,652.7775879,664.7666063,651.0776351,658.7944641,14076051
2019-11-19,675.3913574,677.6952498,655.3723093,656.26699,30176255
2019-11-20,692.3459473,703.4179481,690.3552531,695.6563849,43538120
2019-11-21,687.8500977,696.0813988,683.801578,691.1605356,14897371
2019-11-22,691.831543,702.1206694,687.8500945,689.8631858,22352865
2019-11-25,698.564209,700.0180949,693.8446192,693.9117501,15146156
2019-11-26,697.9827271,705.1850861,696.0814409,701.4944385,35330983
2019-11-27,702.2772827,704.8048453,696.1261439,697.8484938,9642739
2019-11-28,706.9520874,708.6743775,699.6378642,703.5297847,13747479
2019-11-29,693.9118042,707.6902458,692.4355213,707.6902458,18559594
2019-12-02,709.725708,722.2291992,705.4758553,715.7649819,31225364
2019-12-03,706.3258667,713.0808857,703.5075625,712.5217401,12990426
2019-12-04,694.6051636,705.6995025,686.1277955,703.6864112,20987607
2019-12-05,693.7775269,706.7060203,690.7131561,704.1337239,19942460
2019-12-06,695.5893555,701.4496934,689.4158793,694.7394088,13085234
2019-12-09,703.5075684,705.654862,691.8316258,696.1486099,12642677
2019-12-10,698.7431641,703.9548283,695.25379,703.261421,10173333
2019-12-11,698.944397,704.3573338,693.6656025,695.9023636,12364641
2019-12-12,701.5391846,704.0667473,696.3722539,702.4562622,10326606
2019-12-13,708.1152954,711.2915317,703.4181018,706.8179485,12668303
2019-12-16,700.8233643,713.0360538,699.8168187,712.1861072,11892718
2019-12-17,699.0786133,706.3704391,695.8800406,700.8903713,20324601
2019-12-18,704.9614258,706.8179182,698.7656123,699.2129527,14742077
2019-12-19,720.2160645,722.4304886,703.1495833,703.9995299,20507816
2019-12-20,715.3623657,723.6160041,714.020285,722.4752563,21271510
2019-12-23,702.9706421,705.7218149,696.8866346,697.9155173,25107772
2019-12-24,691.8092041,703.2614154,690.0421202,701.8522634,18048449
2019-12-26,677.9188843,694.7169615,675.570258,689.6618964,29761019
2019-12-27,689.9750366,691.6973268,680.5582539,683.1081535,17677571
2019-12-30,690.8026733,692.3460274,683.5779177,691.5855488,17123749
2019-12-31,677.3149414,690.5789703,674.6308397,689.818432,22203005
2020-01-01,675.3242188,683.1529137,673.4901233,679.0819971,14004468
2020-01-02,686.821228,689.3487906,676.3978993,676.3978993,17710316
2020-01-03,687.6488037,689.6618949,681.318729,685.7922518,20984698
2020-01-06,671.7006836,683.510767,670.1349327,679.9767187,24519177
2020-01-07,682.0345459,686.4633347,677.068889,679.5293206,16683622
2020-01-08,676.9122925,686.4408797,675.5031407,677.7399019,16047902
2020-01-09,692.5026245,693.3973052,685.0094647,688.2975058,14982742
2020-01-10,692.3459473,696.9536718,688.7671055,694.2471734,12478359
2020-01-13,690.5790405,697.2893253,688.2080768,691.1829799,18282382
2020-01-14,684.1818848,693.3973352,680.8043754,688.9238121,15816535
2020-01-15,681.6990356,688.8790573,679.1938699,687.067299,15817859
2020-01-16,687.9842529,690.4223472,683.5554644,684.0028644,12847975
2020-01-17,707.2653198,709.0323442,694.8288991,694.9631012,29463471
2020-01-20,685.5015259,719.7911482,682.8397613,719.7911482,32545850
2020-01-21,686.1948853,691.5407512,680.8713564,683.8239219,18922720
2020-01-22,685.9489136,691.9434537,684.9423679,690.7132378,10322817
2020-01-23,683.0411377,689.7961564,680.2899049,687.3580618,11247739
2020-01-24,680.670105,687.2909209,679.3280243,683.1081396,14628445
2020-01-27,673.9598389,681.9674704,673.2664314,677.6952803,13387750
2020-01-28,658.3919678,675.5032445,654.7460542,674.8769082,24532236
2020-01-29,662.0154419,668.5243925,654.9472263,659.4207487,24746565
2020-01-30,645.8660278,661.9483607,644.1884717,661.6352224,22402689
2020-01-31,631.5059814,650.1158766,629.5152871,650.0040117,34750310
2020-02-03,619.8077393,626.2720164,609.7646795,612.8290506,30712290
2020-02-04,638.1044922,640.8333281,625.3101998,626.2943486,25383901
2020-02-05,647.9909058,649.9145289,639.8491328,641.9068983,18472100
2020-02-06,652.1513062,656.2669566,644.2332032,650.4961469,15538577
2020-02-07,641.3478394,649.7133433,638.9544787,649.109404,12209212
2020-02-10,642.2201538,646.6489428,630.9692153,638.8202476,15142476
2020-02-11,649.8922119,655.9090887,646.4475719,647.4988516,13999816
2020-02-12,657.7432861,659.7787744,650.8987994,651.4132707,13533565
2020-02-13,659.4655762,661.0760612,654.2986457,661.0760612,13565659
2020-02-14,665.4824829,671.6782959,650.0487634,660.8523611,21227841
2020-02-17,661.2997437,673.7808983,659.5327193,666.1088019,13149130
2020-02-18,656.4458618,660.2483739,651.9723393,660.2483739,11127161
2020-02-19,672.7296143,673.9150961,659.8905874,661.7918138,14084409
2020-02-20,664.7443237,674.6084467,663.7825122,669.6875837,16892268
2020-02-24,646.402832,660.7404778,643.9871345,657.4971708,21370214
2020-02-25,633.6309814,649.2883121,630.7678837,649.2883121,27745062
2020-02-26,622.7154541,631.8190982,620.6352918,630.7678186,29362748
2020-02-27,620.1432495,623.5207586,612.4263599,620.9260652,25054993
2020-02-28,594.3756714,607.0581582,592.7428493,606.1186837,39315769
2020-03-02,588.7838135,612.4263781,582.0511322,606.208168,29500495
2020-03-03,600.7280273,605.6712869,591.4007134,594.8453531,27398798
2020-03-04,599.3189697,605.6266481,585.093128,604.8214354,22105261
2020-03-05,586.5469971,607.4831207,584.2431049,604.9108244,30510390
2020-03-06,568.5856934,576.2578481,555.2098604,568.1383531,33734039
2020-03-09,498.4184265,555.165158,489.8516206,554.7401549,88187018
2020-03-11,516.0441895,527.1832629,495.667239,495.667239,59578576
2020-03-12,475.5363464,492.5357574,469.1392003,485.3781327,55970485
2020-03-13,494.4593811,509.9825092,421.585578,446.4583882,73297403
2020-03-16,454.3765869,483.0071777,449.5898955,474.4403705,38482258
2020-03-17,450.9319153,474.194269,448.784622,468.4905007,45445979
2020-03-18,433.2614746,463.413079,429.9063325,458.6711222,44730415
2020-03-19,410.5359192,432.5904242,399.1284125,411.6095658,61404010
2020-03-20,455.3830872,462.9657149,416.0383697,420.2882223,63360475
2020-03-23,395.4824829,424.985412,391.7247049,409.8648619,40670949
