"Date","Price","Open","High","Low","Vol.","Change %"
"16-03-2017","291.76","294.53","294.62","290.84","14.70M","-0.56%"
"15-03-2017","293.40","290.27","295.95","290.13","22.25M","1.20%"
"14-03-2017","289.92","296.50","296.56","288.97","25.63M","0.61%"
"10-03-2017","288.16","290.09","291.38","283.56","22.88M","-0.39%"
"09-03-2017","289.30","290.04","291.83","288.12","28.70M","-0.35%"
"08-03-2017","290.31","294.01","294.01","289.16","40.00M","-1.05%"
"07-03-2017","293.40","296.52","298.35","291.42","38.83M","-0.03%"
"06-03-2017","293.49","285.31","294.98","284.47","61.59M","3.72%"
"03-03-2017","282.96","279.14","289.54","279.14","77.81M","1.76%"
"02-03-2017","278.06","278.32","282.10","275.88","16.67M","0.18%"
"01-03-2017","277.56","278.82","279.78","276.55","22.51M","-0.29%"
"28-02-2017","278.36","276.99","280.59","276.21","33.33M","-0.07%"
"27-02-2017","278.55","267.66","282.57","267.63","77.00M","4.75%"
"23-02-2017","265.92","272.86","274.75","265.16","57.46M","-2.05%"
"22-02-2017","271.49","245.74","272.42","245.52","117.52M","10.97%"
"21-02-2017","244.66","241.74","245.28","241.26","13.09M","1.19%"
"20-02-2017","241.79","240.70","242.56","239.78","10.75M","-0.01%"
"17-02-2017","241.81","239.78","242.42","237.98","13.70M","0.75%"
"16-02-2017","240.01","236.65","240.45","236.65","18.14M","1.54%"
"15-02-2017","236.37","236.73","237.76","235.01","14.06M","0.14%"
"14-02-2017","236.03","232.70","236.73","231.56","16.84M","1.94%"
"13-02-2017","231.54","232.25","232.48","229.78","7.91M","-0.03%"
"10-02-2017","231.61","232.70","232.83","230.58","11.55M","-0.25%"
"09-02-2017","232.20","231.13","232.48","230.86","9.10M","0.74%"
"08-02-2017","230.49","231.78","233.43","229.78","14.98M","-0.56%"
"07-02-2017","231.78","234.28","234.36","230.95","9.14M","-1.03%"
"06-02-2017","234.20","233.15","234.93","232.04","9.22M","0.77%"
"03-02-2017","232.40","235.18","236.18","231.60","12.20M","-0.94%"
"02-02-2017","234.61","236.08","236.26","233.43","8.40M","-0.59%"
"01-02-2017","236.00","235.20","236.28","232.75","10.44M","0.43%"
"31-01-2017","235.00","235.37","236.93","233.89","13.96M","0.04%"
"30-01-2017","234.91","230.44","235.28","230.41","14.47M","1.92%"
"27-01-2017","230.48","229.39","231.33","229.11","20.18M","0.77%"
"25-01-2017","228.72","232.03","232.19","228.46","22.02M","-0.97%"
"24-01-2017","230.97","228.66","231.31","228.66","8.69M","1.12%"
"23-01-2017","228.41","229.73","231.80","227.71","12.65M","-0.96%"
"20-01-2017","230.63","232.47","233.25","230.21","8.11M","-0.77%"
"19-01-2017","232.41","232.74","235.02","231.80","14.11M","0.11%"
"18-01-2017","232.15","234.41","235.63","231.30","14.65M","-0.84%"
"17-01-2017","234.11","239.45","240.12","233.49","36.21M","-3.25%"
"16-01-2017","241.98","245.06","245.96","241.46","11.09M","-1.30%"
"13-01-2017","245.16","243.84","246.75","243.84","6.68M","0.66%"
"12-01-2017","243.56","244.39","245.15","242.78","4.04M","-0.25%"
"11-01-2017","244.18","246.19","246.35","243.72","10.59M","-0.35%"
"10-01-2017","245.03","242.82","246.06","242.82","10.48M","1.13%"
"09-01-2017","242.30","242.15","244.17","240.80","4.83M","0.26%"
"06-01-2017","241.68","241.52","243.94","241.27","7.24M","-0.23%"
"05-01-2017","242.24","240.80","242.80","240.29","8.06M","0.96%"
"04-01-2017","239.93","245.72","245.74","239.29","9.59M","-2.04%"
"03-01-2017","244.93","245.03","246.64","243.07","5.94M","0.39%"
"02-01-2017","243.97","243.72","245.07","241.10","6.55M","0.25%"
"30-12-2016","243.36","239.40","243.94","239.02","14.50M","1.59%"
"29-12-2016","239.55","236.08","240.30","235.96","8.10M","1.50%"
"28-12-2016","236.01","240.10","240.47","235.42","8.90M","-1.41%"
"27-12-2016","239.38","235.59","239.92","235.40","16.10M","1.65%"
"26-12-2016","235.50","237.05","239.67","234.87","14.14M","-0.93%"
"23-12-2016","237.72","236.52","240.34","236.52","9.47M","0.38%"
"22-12-2016","236.83","237.87","238.92","236.29","26.67M","-0.93%"
"21-12-2016","239.05","238.35","239.96","237.69","18.80M","0.50%"
"20-12-2016","237.85","237.13","238.55","236.78","10.79M","-0.44%"
"19-12-2016","238.90","237.20","239.89","237.05","13.85M","0.51%"
"16-12-2016","237.68","236.52","238.77","236.52","13.79M","0.40%"
"15-12-2016","236.74","236.61","240.03","235.77","17.84M","-0.62%"
"14-12-2016","238.21","233.78","239.32","233.42","22.28M","1.89%"
"13-12-2016","233.78","231.13","234.05","231.03","9.57M","1.23%"
"12-12-2016","230.95","229.44","234.21","229.44","8.33M","-0.17%"
"09-12-2016","231.34","229.78","231.99","229.40","7.60M","0.87%"
"08-12-2016","229.34","225.97","229.73","225.81","8.08M","2.09%"
"07-12-2016","224.64","225.73","226.54","224.01","4.55M","-0.60%"
"06-12-2016","226.00","223.93","226.31","223.62","6.21M","1.14%"
"05-12-2016","223.45","223.71","224.77","221.80","3.68M","-0.09%"
"02-12-2016","223.65","223.91","225.96","222.99","11.52M","-0.30%"
"01-12-2016","224.33","224.83","228.21","223.71","11.66M","0.78%"
"30-11-2016","222.60","224.82","224.82","221.83","25.47M","-0.77%"
"29-11-2016","224.32","222.36","225.80","222.15","9.12M","1.12%"
"28-11-2016","221.83","223.26","224.97","221.26","7.67M","-0.71%"
"25-11-2016","223.42","222.59","223.91","221.31","9.65M","0.64%"
"24-11-2016","221.99","226.08","226.08","220.83","17.46M","-2.15%"
"23-11-2016","226.86","225.96","227.19","224.73","12.10M","0.76%"
"22-11-2016","225.16","224.32","226.59","223.33","16.29M","1.00%"
"21-11-2016","222.92","222.03","223.38","221.06","12.21M","0.41%"
"18-11-2016","222.02","221.46","223.19","220.79","16.77M","1.00%"
"17-11-2016","219.83","221.69","224.42","219.08","11.66M","-0.89%"
"16-11-2016","221.81","223.71","224.11","220.49","15.28M","0.12%"
"15-11-2016","221.55","224.05","224.83","220.24","13.37M","-1.63%"
"11-11-2016","225.23","224.35","228.77","223.73","13.64M","-0.85%"
"10-11-2016","227.17","229.02","231.34","226.41","9.01M","0.58%"
"09-11-2016","225.87","213.59","226.86","209.10","19.97M","0.11%"
"08-11-2016","225.62","226.12","226.12","224.45","12.40M","0.24%"
"07-11-2016","225.09","227.98","228.55","224.62","8.77M","-0.44%"
"04-11-2016","226.08","229.39","230.88","224.83","10.65M","-1.80%"
"03-11-2016","230.22","230.20","232.65","229.47","6.75M","0.02%"
"02-11-2016","230.17","234.05","234.47","229.56","6.50M","-2.59%"
"01-11-2016","236.30","236.37","237.41","235.49","9.44M","-0.02%"
"30-10-2016","236.35","238.04","238.04","235.24","1.46M","-0.35%"
