Price,Open,High,Low,Vol.,Change %,Target
227.58,226.86,229.56,225.62,12920000.0,0.73,0
226.24,231.13,233.55,225.23,29630000.0,-0.59,1
228.84,226.18,229.99,223.78,15370000.0,1.15,1
230.0,229.32,231.2,228.55,11320000.0,0.51,0
226.26,230.23,230.45,225.96,6190000.0,-1.63,1
228.17,226.18,228.84,225.98,6370000.0,0.84,1
229.95,227.98,230.17,226.49,7610000.0,0.78,1
230.24,230.0,232.66,228.25,9710000.0,0.13,0
227.78,230.02,230.68,226.85,10180000.0,-1.07,1
230.76,228.19,231.69,227.77,14410000.0,1.31,0
228.18,230.23,230.43,227.53,8890000.0,-1.12,0
226.97,228.88,229.4,225.97,7360000.0,-0.53,1
227.71,226.63,229.33,226.25,7120000.0,0.33,0
223.47,228.07,228.07,222.92,10960000.0,-1.86,0
223.26,224.61,224.83,221.1,9400000.0,-0.09,1
228.49,224.38,229.11,224.17,11180000.0,2.34,1
231.41,229.31,232.48,229.03,12510000.0,1.28,1
231.74,230.9,232.59,229.56,12270000.0,0.14,0
225.65,231.86,232.6,225.28,12430000.0,-2.63,1
228.0,225.27,229.97,224.74,13080000.0,1.04,1
232.88,228.66,234.48,228.66,15110000.0,2.14,0
230.43,232.98,234.91,228.32,12340000.0,-1.05,0
227.82,230.25,231.31,226.45,14290000.0,-1.13,1
228.89,228.43,230.15,228.43,7150000.0,0.47,0
228.18,228.88,229.78,226.43,7550000.0,-0.31,0
227.5,227.53,229.26,226.45,6170000.0,-0.3,0
227.18,227.53,228.21,225.96,6760000.0,-0.14,1
229.44,227.46,229.77,227.31,8050000.000000001,0.99,0
227.69,229.6,231.35,226.86,13810000.0,-0.76,1
231.11,228.86,231.76,228.12,8900000.0,1.5,1
237.75,230.96,238.27,230.7,14950000.0,2.87,1
239.76,238.77,240.23,236.75,16770000.0,0.85,0
238.32,239.43,241.47,235.4,21500000.0,-0.6,0
231.4,236.75,241.19,230.61,39340000.0,-2.9,0
227.84,231.83,232.15,225.35,25960000.0,-1.54,1
229.31,229.31,230.45,228.21,10620000.0,0.65,0
228.8,229.78,230.92,227.77,11930000.0,-0.22,1
232.34,230.02,232.92,229.38,11270000.0,1.55,1
234.85,232.7,236.05,231.58,14090000.0,1.08,1
235.29,231.67,237.42,231.39,31090000.0,0.19,0
234.89,235.63,238.1,234.03,17170000.0,-0.17,1
239.45,235.4,240.62,235.4,28960000.0,1.94,1
241.82,239.9,245.93,238.12,36300000.0,0.99,1
243.36,241.15,244.62,240.8,15390000.0,0.64,0
241.52,243.72,243.89,240.36,10640000.0,-0.76,0
